Modelo,Mejor Score,Cantidad variables,Mejores Parámetros
RandomForest,0.9613408521303258,23,"{'max_depth': 18, 'n_estimators': 200}"
RandomForest,0.9578320802005011,21,"{'max_depth': 16, 'n_estimators': 200}"
RandomForest,0.9470551378446116,19,"{'max_depth': 18, 'n_estimators': 300}"
SVM,0.9436090225563909,23,"{'C': 10, 'gamma': 1}"
GradientBoosting,0.9401002506265664,23,{'n_estimators': 200}
SVM,0.9365914786967418,21,"{'C': 10, 'gamma': 'scale'}"
SVM,0.9330200501253133,19,"{'C': 20, 'gamma': 'scale'}"
GradientBoosting,0.9295112781954886,21,{'n_estimators': 200}
kNN,0.9258771929824562,23,"{'n_neighbors': 2, 'weights': 'distance'}"
GradientBoosting,0.918984962406015,19,{'n_estimators': 100}
kNN,0.9152882205513784,21,"{'n_neighbors': 2, 'weights': 'distance'}"
kNN,0.8977443609022556,19,"{'n_neighbors': 2, 'weights': 'distance'}"
